Name,GI,GL
"Acerola, Barbados Cherry (fresh)",20,0.1
Acorns,25,10.3
Agave (syrup),15,11.4
Almond,15,1.9
Almond milk,30,3.9
Almond oil,25,0
Almond paste (sugar free),35,15.1
Amaranth seeds (unprepared),35,19.9
Apple Juice (unsweetened),40,4.9
Apple cider (brut),40,0
Apple juice,41,4.5
Apple juice (sugar free),50,5.7
Applesauce (unsweetened),35,4
Apricot,34,3.8
Artichoke,20,1.2
Asparagus,15,0.6
Avocado,10,0.9
Azuki Beans,35,22
Balsamic vinegar,5,2.8
Bamboo sprouts,20,1
Banana,48,10.1
Banana pie,47,17.1
Bananas (Dried),48,42.4
Barley flour,30,16.8
Barley groats,25,15.8
Basil,5,0.1
Basmati Rice,50,37.5
"Beans, fava (raw)",40,7.2
"Beef (steak, etc,)",0,0
Beef brains,0,0
Beetroot,15,0.6
Beetroot (fresh),30,2.6
Black currant (fresh berry),15,1.1
Black olives,15,4.8
Blackberry (fresh berry),25,2.5
Blueberries,53,4
Blueberry,25,2
Boiled beef tongue,0,0
Boiled chicken breast,0,0
Boiled lamb,0,0
Boiled lean beef,0,0
Boiled veal,0,0
Braised Cauliflower,15,0
"Bran (wheat, oat)",15,6.8
Bread (oatmeal),47,19.2
Brewer's yeast,35,0
Broccoli,15,0.5
Broccoli (cooked),45,3.1
Brown rice,50,36.5
Brussels sprouts,15,0.3
Brussels sprouts (fresh),15,1.1
Buckwheat,50,22
Buckwheat Pasta,40,28.4
Buckwheat bread,50,22.9
Buckwheat flour,40,28.2
Buckwheat pancakes,40,3.6
Buckwheat porridge,40,12.4
Bulgur,55,41.8
Butter,0,0
Butter (high fat),14,0.1
"Butter cookies (flour, butter, sugar)",55,29.1
Canned Grapefruit,47,4.3
Canned pears,55,8.6
Capellini (pasta),45,32.9
Capers,20,0.8
Caraway,5,0.6
Carob (carob powder),15,11.7
Carrot (fresh),30,2
Carrot Juice (unsweetened),40,2.6
Cashew nuts,15,4.5
Cashew nuts,25,3.1
Cashew nuts (salted),22,6.6
"Cassava (bitter, sweet)",55,20.9
Cauliflower,15,0.8
Cauliflower (fresh),15,0.8
Celery (fresh),15,0.3
"Cereals, whole (sugar free)",45,27.3
"Chayote (Mexican cucumber), mashed from it",50,2.3
Cheddar,0,0
Chees Feta,30,1.2
"Cheese (Mozzarella, pressed cottage cheese, etc,)",0,0
"Cherry (sweet, fresh)",25,4
Cherry plum,25,0
Chia Seeds (Dried),30,12.6
Chicken,0,0
Chicken (fried),0,0
Chickens,0,0
Chickpea flour,35,23.1
Chickpeas,10,6.1
Chickpeas (canned),35,6.8
Chicory,15,0.6
Chicory (drink),40,1.1
Chicory Syrup,55,5.2
Chilli,15,1.4
Chilli Green (Fresh),15,1.2
Chinese cabbage,20,0.4
Chinese noodles,35,23.4
"Chips, corn, salted",42,25.6
Chocolate,49,29.9
Chocolate (+ 70% cocoa),25,9
Chocolate candy with sweeteners,23,8.2
Chocolate milk,34,3.7
Cinnamon,5,2.9
Cloudberry (fresh berries),25,1.7
Cocoa Powder (Sugar Free),20,4.4
Coconut,45,0.8
Coconut Milk,40,1.1
Coconut Sugar,35,1.8
Coconut milk (raw),40,1.1
Coffee beans,50,0.1
Cooked sausage,34,9.5
"Cookies (whole grain flour, sugar free)",50,23.4
Corn syrup,15,11.7
Cottage cheese,30,0.8
Cottage cheese 9% fat,30,2.7
Cranberries (fresh),45,5.5
Cranberry Juice (unsweetened),50,7.3
Cranberry juice (sugar free),50,7.3
Cream,30,1.1
Cream (10%),25,1.1
Cream (18%),30,1.1
Cream (30%),33,1.2
"Crustaceans (lobster, crab, spiny lobster)",5,0.1
Cucumber,15,0.4
Curd,45,10.3
Dark Chocolate (with 85% Cocoa Content),20,9.6
Dark chocolate,23,13.8
Dessert Banana (Green),45,15.7
Dijon mustard,35,3.3
Dill (fresh),25,1.6
Dill pickles,15,0.2
Dried Peaches,35,20.2
Dried apples,35,20.6
Dried apricots,35,21.2
Dried dates,40,27.7
Dry cider,40,11.6
Duck,0,0
Durum wheat vermicelli,35,8.1
Egg,0,0
Eggplant,20,1.7
